Category Code,Category 中文,Skill Code,Skill 中文,Skill English,Definition,Includes / Typical Evidence,Excludes / Boundary Rule,Status
W3,詞彙運用,WRITE_LEXICAL_FLEXIBILITY,改述與詞彙彈性,Paraphrase & Lexical Flexibility,能用不同但準確的方式改述概念，減少機械重複並維持語意一致。,paraphrase；synonym choice；lexical variation,不鼓勵為了換字而使用不自然或語意偏移的艱深詞彙,DECIDED v1
W3,詞彙運用,WRITE_LEXICAL_FORM,詞形與拼字控制,Word Form & Spelling Control,能控制詞形、詞類與拼寫，使字詞形式符合句法與書寫需求。,success/successful/successfully；derivation；spelling；word boundaries,作文中的拼字/詞形表現不自動等同 Vocabulary learner-word mastery,DECIDED v1
W4,句構與文法,WRITE_GRAMMAR_BASIC,基本句構準確度,Basic Sentence Accuracy,能建立完整且基本正確的句子，控制高頻句法與基礎文法關係。,sentence completeness；agreement；basic tense；articles；basic clauses,Run-on / Fragment / SV agreement 等具體錯誤應另外加 Error Tag,DECIDED v1
W4,句構與文法,WRITE_GRAMMAR_RANGE,文法結構範圍,Grammatical Range,能依表意需求使用多樣文法結構，而不侷限於重複的簡單句型。,tense/aspect；modals；passive；clauses；conditionals；relative clauses,文法結構越複雜不代表越好；需同時考量控制與適切性,DECIDED v1
W4,句構與文法,WRITE_GRAMMAR_COMPLEX,複雜句構控制,Complex Structure Control,能正確組織與控制從屬、關係、條件、分詞等複雜句法結構。,subordination；relative clauses；participial structures；conditionals,若只是不斷使用簡單句，主要是 Range；若使用複雜句但失控，才屬 Control,DECIDED v1
W4,句構與文法,WRITE_GRAMMAR_VARIETY,句式多樣性與節奏,Sentence Variety & Style,能有意識地變化句長、句首、協調與從屬結構，使文字避免機械重複並保持可讀性。,sentence length variation；openings；coordination/subordination balance,不是鼓勵刻意複雜化；Variety 必須服務 clarity 與 style,DECIDED v1
W5,語體、讀者與寫作規範,WRITE_REGISTER_FORMALITY,語體與正式度,Register & Formality,能依任務情境選擇合宜的正式度、禮貌程度與書面語體。,formal/informal；politeness；academic/conversational register,不應要求所有寫作一律正式；依 target context 評量,DECIDED v1
W5,語體、讀者與寫作規範,WRITE_REGISTER_AUDIENCE,讀者意識,Audience Awareness,能依預期讀者調整背景說明、措辭、資訊量與表達方式。,friend；teacher；customer；public；academic audience,如果 task 未指定讀者且無法合理推定，應避免過度評分,DECIDED v1
W5,語體、讀者與寫作規範,WRITE_REGISTER_VOICE,語氣與作者聲音,Tone & Voice,能維持與寫作目的相符且前後一致的語氣、立場與 writer voice。,persuasive；objective；reflective；critical；friendly,不要把單一情緒詞彙直接等同整體 Tone,DECIDED v1
W5,語體、讀者與寫作規範,WRITE_REGISTER_GENRE,文類與任務慣例,Genre & Task Conventions,能依不同文類遵循相應的結構、格式與溝通慣例。,email；essay；report；review；story；chart description conventions,Email / Essay / Report 本身是 task_type / genre，不是 Skill,DECIDED v1
W5,語體、讀者與寫作規範,WRITE_REGISTER_MECHANICS,標點與書寫規範,Punctuation & Mechanics,能控制標點、大小寫、句界、apostrophe 與基本書面格式，使文字清楚可讀。,punctuation；capitalization；sentence boundaries；apostrophe；mechanics,Run-on / Fragment 的核心若是句構問題，Primary Skill 仍可歸 W4 Basic Sentence Accuracy，並加相應 Error Tag,DECIDED v1
