High-Score Category Code,Parent Feature ID,Parent Feature Code,Sub-skill ID,Sub-skill Code,Sub-skill 中文 / Display Label,Sub-skill English,Definition / Detection Note,Status,Visibility,Detection Enabled,Mastery Enabled
H1,H1-4,WRITE_HSF_REDUCED,H1-4-4,WRITE_HSF_REDUCED_WITH_O_COMPLEMENT,with + O + complement 等簡化,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-5,WRITE_HSF_INVERSION,H1-5-1,WRITE_HSF_INVERSION_NEGATIVE_INVERSION,否定倒裝,negative inversion,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-5,WRITE_HSF_INVERSION,H1-5-2,WRITE_HSF_INVERSION_ONLY_ADV_INVERSION,only + 副詞倒裝,only + adv inversion,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-5,WRITE_HSF_INVERSION,H1-5-3,WRITE_HSF_INVERSION_SO_SUCH_INVERSION,so／such 倒裝,So/Such Inversion,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 原文「so／such 倒裝」。Owner 於 2026-08-30 裁決維持單一 node，不再拆分。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-5,WRITE_HSF_INVERSION,H1-5-4,WRITE_HSF_INVERSION_CONDITIONAL_INVERSION,條件句倒裝,conditional inversion,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-6,WRITE_HSF_APPOSITIVE,H1-6-1,WRITE_HSF_APPOSITIVE_APPOSITIVES,同位語,appositives,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-6,WRITE_HSF_APPOSITIVE,H1-6-2,WRITE_HSF_APPOSITIVE_SUB02,插入補充,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-6,WRITE_HSF_APPOSITIVE,H1-6-3,WRITE_HSF_APPOSITIVE_DASH_STRUCTURES,破折號結構,dash structures,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-6,WRITE_HSF_APPOSITIVE,H1-6-4,WRITE_HSF_APPOSITIVE_COLON_EXPANSION,冒號展開,colon expansion,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H1,H1-6,WRITE_HSF_APPOSITIVE,H1-6-5,WRITE_HSF_APPOSITIVE_NON_RESTRICTIVE_SUPPLEMENTARY_PHRASES,非限定補充片語,non-restrictive supplementary phrases,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-1,WRITE_HSF_LEX_VARIETY,H2-1-1,WRITE_HSF_LEX_VARIETY_SUB01,避免不必要重複,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-1,WRITE_HSF_LEX_VARIETY,H2-1-2,WRITE_HSF_LEX_VARIETY_SUB02,不同詞彙表達相關概念,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-1,WRITE_HSF_LEX_VARIETY,H2-1-3,WRITE_HSF_LEX_VARIETY_SUB03,詞類／詞彙變化,Word-class / Lexical Variation,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 原文「動詞／形容詞／名詞變化」。Owner 於 2026-08-30 裁決維持單一 node，不再拆分。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-2,WRITE_HSF_LEX_PRECISION,H2-2-1,WRITE_HSF_LEX_PRECISION_SPECIFIC_VERBS,精準動詞,specific verbs,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-2,WRITE_HSF_LEX_PRECISION,H2-2-2,WRITE_HSF_LEX_PRECISION_PRECISE_NOUNS,精準名詞,precise nouns,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-2,WRITE_HSF_LEX_PRECISION,H2-2-3,WRITE_HSF_LEX_PRECISION_ADJECTIVE_ADVERB,適切修飾語選擇,Appropriate Modifier Choice,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 原文「適切 adjective/adverb」。Owner 於 2026-08-30 裁決維持單一 node，不再拆分。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-2,WRITE_HSF_LEX_PRECISION,H2-2-4,WRITE_HSF_LEX_PRECISION_SUB04,細微語義差異,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-3,WRITE_HSF_ADV_VOCAB,H2-3-1,WRITE_HSF_ADV_VOCAB_SOPHISTICATED_BUT_NATURAL_VOCABULARY,成熟且自然的詞彙,sophisticated but natural vocabulary,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-3,WRITE_HSF_ADV_VOCAB,H2-3-2,WRITE_HSF_ADV_VOCAB_ACADEMIC_VOCABULARY,學術詞彙,academic vocabulary,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-3,WRITE_HSF_ADV_VOCAB,H2-3-3,WRITE_HSF_ADV_VOCAB_SUB03,避免硬塞難字,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-4,WRITE_HSF_COLLOCATION,H2-4-1,WRITE_HSF_COLLOCATION_VERB_NOUN,動詞－名詞搭配,verb–noun,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-4,WRITE_HSF_COLLOCATION,H2-4-2,WRITE_HSF_COLLOCATION_ADJECTIVE_NOUN,形容詞－名詞搭配,adjective–noun,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-4,WRITE_HSF_COLLOCATION,H2-4-3,WRITE_HSF_COLLOCATION_ADVERB_ADJECTIVE,副詞－形容詞搭配,adverb–adjective,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-4,WRITE_HSF_COLLOCATION,H2-4-4,WRITE_HSF_COLLOCATION_PREPOSITIONAL_COLLOCATIONS,介係詞搭配,prepositional collocations,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-4,WRITE_HSF_COLLOCATION,H2-4-5,WRITE_HSF_COLLOCATION_SUB05,慣用搭配,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-5,WRITE_HSF_PARAPHRASE,H2-5-1,WRITE_HSF_PARAPHRASE_SYNONYMS,同義詞,synonyms,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-5,WRITE_HSF_PARAPHRASE,H2-5-2,WRITE_HSF_PARAPHRASE_NEAR_SYNONYMS,近義詞,near-synonyms,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-5,WRITE_HSF_PARAPHRASE,H2-5-3,WRITE_HSF_PARAPHRASE_PHRASE_REPLACEMENT,片語替換,phrase replacement,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-5,WRITE_HSF_PARAPHRASE,H2-5-4,WRITE_HSF_PARAPHRASE_CONCEPTUAL_REWORDING,概念改寫,conceptual rewording,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H2,H2-5,WRITE_HSF_PARAPHRASE,H2-5-5,WRITE_HSF_PARAPHRASE_SUB05,避免原詞重複,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-1,WRITE_HSF_TRANSITIONS,H3-1-1,WRITE_HSF_TRANSITIONS_ADDITION,增補轉承,addition,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-1,WRITE_HSF_TRANSITIONS,H3-1-2,WRITE_HSF_TRANSITIONS_CONTRAST,對比轉承,contrast,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-1,WRITE_HSF_TRANSITIONS,H3-1-3,WRITE_HSF_TRANSITIONS_CAUSE_EFFECT,因果轉承,cause-effect,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-1,WRITE_HSF_TRANSITIONS,H3-1-4,WRITE_HSF_TRANSITIONS_EXAMPLE,舉例轉承,example,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-1,WRITE_HSF_TRANSITIONS,H3-1-5,WRITE_HSF_TRANSITIONS_CONCESSION,讓步轉承,concession,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-1,WRITE_HSF_TRANSITIONS,H3-1-6,WRITE_HSF_TRANSITIONS_SEQUENCE,順序轉承,sequence,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-1,WRITE_HSF_TRANSITIONS,H3-1-7,WRITE_HSF_TRANSITIONS_SUMMARY_TRANSITIONS,總結轉承,summary transitions,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-1,WRITE_HSF_TRANSITIONS,H3-1-8,WRITE_HSF_TRANSITIONS_SUB08,隱性轉承,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-2,WRITE_HSF_LEX_COHESION,H3-2-1,WRITE_HSF_LEX_COHESION_REPETITION_OF_KEY_CONCEPTS,關鍵概念重述,repetition of key concepts,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-2,WRITE_HSF_LEX_COHESION,H3-2-2,WRITE_HSF_LEX_COHESION_SYNONYM_CHAIN,同義詞鏈,synonym chain,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-2,WRITE_HSF_LEX_COHESION,H3-2-3,WRITE_HSF_LEX_COHESION_SEMANTIC_FIELD,語意場,semantic field,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-2,WRITE_HSF_LEX_COHESION,H3-2-4,WRITE_HSF_LEX_COHESION_SUPERORDINATE_SUBORDINATE_TERMS,上位／下位詞關係,Superordinate / Subordinate Lexical Relation,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 原文「上位／下位詞」。Owner 於 2026-08-30 裁決維持單一 node，不再拆分。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-2,WRITE_HSF_LEX_COHESION,H3-2-5,WRITE_HSF_LEX_COHESION_LEXICAL_RECURRENCE,詞彙復現,lexical recurrence,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-3,WRITE_HSF_REF_COHESION,H3-3-1,WRITE_HSF_REF_COHESION_THIS_THAT_THESE_THOSE,指示詞指涉,Demonstrative Reference,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 原文「this／that／these／those 指涉」。Owner 於 2026-08-30 裁決維持單一 node，不再拆分。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-3,WRITE_HSF_REF_COHESION,H3-3-2,WRITE_HSF_REF_COHESION_IT_THEY,代名詞指涉,Pronoun Reference,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 原文「it／they 指涉」。Owner 於 2026-08-30 裁決維持單一 node，不再拆分。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-3,WRITE_HSF_REF_COHESION,H3-3-3,WRITE_HSF_REF_COHESION_SUCH_N,such + N 指涉,such + N,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-3,WRITE_HSF_REF_COHESION,H3-3-4,WRITE_HSF_REF_COHESION_THE_FORMER_LATTER,the former／latter 指涉,Former/Latter Reference,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 原文「the former／latter 指涉」。Owner 於 2026-08-30 裁決維持單一 node，不再拆分。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-3,WRITE_HSF_REF_COHESION,H3-3-5,WRITE_HSF_REF_COHESION_CLEAR_BACKWARD_REFERENCE,清楚的回指,clear backward reference,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-4,WRITE_HSF_INFO_FLOW,H3-4-1,WRITE_HSF_INFO_FLOW_GIVEN_NEW_INFORMATION,已知→新資訊,given → new information,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-4,WRITE_HSF_INFO_FLOW,H3-4-2,WRITE_HSF_INFO_FLOW_SENTENCE_TO_SENTENCE_PROGRESSION,句與句遞進,sentence-to-sentence progression,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-4,WRITE_HSF_INFO_FLOW,H3-4-3,WRITE_HSF_INFO_FLOW_A_B_C_DEVELOPMENT,A→B→C 推展,A→B→C development,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-4,WRITE_HSF_INFO_FLOW,H3-4-4,WRITE_HSF_INFO_FLOW_ABRUPT_TOPIC_JUMPS,避免 abrupt topic jumps,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-5,WRITE_HSF_PARA_PROGRESSION,H3-5-1,WRITE_HSF_PARA_PROGRESSION_SUB01,前段→後段邏輯承接,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-5,WRITE_HSF_PARA_PROGRESSION,H3-5-2,WRITE_HSF_PARA_PROGRESSION_BRIDGE_SENTENCE,橋接句,bridge sentence,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-5,WRITE_HSF_PARA_PROGRESSION,H3-5-3,WRITE_HSF_PARA_PROGRESSION_CONCEPT_CARRY_OVER,概念承接,concept carry-over,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-5,WRITE_HSF_PARA_PROGRESSION,H3-5-4,WRITE_HSF_PARA_PROGRESSION_SUB04,段落功能順序,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-6,WRITE_HSF_CALLBACK,H3-6-1,WRITE_HSF_CALLBACK_INTRODUCTION_CONCLUSION_ECHO,首尾呼應,introduction–conclusion echo,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-6,WRITE_HSF_CALLBACK,H3-6-2,WRITE_HSF_CALLBACK_MOTIF_CALLBACK,母題回扣,motif callback,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-6,WRITE_HSF_CALLBACK,H3-6-3,WRITE_HSF_CALLBACK_KEY_PHRASE_RETURN,關鍵語句重現,key phrase return,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-6,WRITE_HSF_CALLBACK,H3-6-4,WRITE_HSF_CALLBACK_OPENING_IMAGE_REVISITED,開場意象重訪,opening image revisited,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H3,H3-6,WRITE_HSF_CALLBACK,H3-6-5,WRITE_HSF_CALLBACK_CENTRAL_IDEA_RECURRENCE,核心概念復現,central idea recurrence,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H4,H4-1,WRITE_HSF_CONTRAST,H4-1-1,WRITE_HSF_CONTRAST_CONTRAST,對比轉承,contrast,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H4,H4-1,WRITE_HSF_CONTRAST,H4-1-2,WRITE_HSF_CONTRAST_ANTITHESIS,對偶反襯,antithesis,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H4,H4-1,WRITE_HSF_CONTRAST,H4-1-3,WRITE_HSF_CONTRAST_JUXTAPOSITION,並置,juxtaposition,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H4,H4-1,WRITE_HSF_CONTRAST,H4-1-4,WRITE_HSF_CONTRAST_BEFORE_AFTER,前後對照,Before/After Contrast,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 原文「前後對照」。Owner 於 2026-08-30 裁決維持單一 node，不再拆分。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H4,H4-1,WRITE_HSF_CONTRAST,H4-1-5,WRITE_HSF_CONTRAST_LIGHT_DARK_CONTRAST,明暗對照,Light/Dark Contrast,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。 原文「明暗對照」。Owner 於 2026-08-30 裁決維持單一 node，不再拆分。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H4,H4-2,WRITE_HSF_PATTERNING,H4-2-1,WRITE_HSF_PATTERNING_RHETORICAL_PARALLELISM,修辭平行,rhetorical parallelism,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H4,H4-2,WRITE_HSF_PATTERNING,H4-2-2,WRITE_HSF_PATTERNING_RULE_OF_THREE,三段式,Rule of Three,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H4,H4-2,WRITE_HSF_PATTERNING,H4-2-3,WRITE_HSF_PATTERNING_ANAPHORA,anaphora 首語重複,,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H4,H4-2,WRITE_HSF_PATTERNING,H4-2-4,WRITE_HSF_PATTERNING_REPETITION,重複,repetition,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H4,H4-2,WRITE_HSF_PATTERNING,H4-2-5,WRITE_HSF_PATTERNING_CLIMACTIC_SEQUENCE,漸強序列,climactic sequence,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
H4,H4-3,WRITE_HSF_RHET_QUESTION,H4-3-1,WRITE_HSF_RHET_QUESTION_QUESTION_OPENING,提問開場,question opening,源自 workbook High_Score_Features「Sub-skills / 判斷項目」逐項拆分（分隔符：；）。,ACTIVE,OWNER_ONLY,TRUE,FALSE
