High-Score Category Code,Category 中文,Category English,Feature ID,Feature Code,主技巧,Feature English,Sub-skills / 判斷項目,Effective / Boundary Rule,Quality Values,Status
H2,字彙成熟度,Lexical Sophistication,H2-5,WRITE_HSF_PARAPHRASE,詞彙改述,Lexical Paraphrasing,synonyms；near-synonyms；phrase replacement；conceptual rewording；避免原詞重複,改述需保留原意且自然；概念偏移或硬換字不算。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H3,篇章與連貫技巧,Discourse Craft,H3-1,WRITE_HSF_TRANSITIONS,自然轉承,Natural Transitions,addition；contrast；cause-effect；example；concession；sequence；summary transitions；隱性轉承,不以 transition words 數量判分；真正重點是語意關係自然、必要且不機械。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H3,篇章與連貫技巧,Discourse Craft,H3-2,WRITE_HSF_LEX_COHESION,詞彙銜接,Lexical Cohesion,repetition of key concepts；synonym chain；semantic field；superordinate/subordinate terms；lexical recurrence,需形成可追蹤的概念鏈；單純重複同一字不一定是高分特徵。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H3,篇章與連貫技巧,Discourse Craft,H3-3,WRITE_HSF_REF_COHESION,指涉連貫,Reference Cohesion,this/that/these/those；it/they；such + N；the former/latter；clear backward reference,所有指涉必須清楚可回指；ambiguous reference 不算有效。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H3,篇章與連貫技巧,Discourse Craft,H3-4,WRITE_HSF_INFO_FLOW,資訊流,Information Flow,given → new information；sentence-to-sentence progression；A→B→C development；避免 abrupt topic jumps,重點是新舊資訊推進自然；單句各自正確但主題跳躍不算。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H3,篇章與連貫技巧,Discourse Craft,H3-5,WRITE_HSF_PARA_PROGRESSION,段落間銜接,Paragraph Progression,前段→後段邏輯承接；bridge sentence；concept carry-over；段落功能順序,段落需有功能性推進；只在段首放 moreover / however 不等於有效銜接。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H3,篇章與連貫技巧,Discourse Craft,H3-6,WRITE_HSF_CALLBACK,前後呼應,Callback / Structural Echo,introduction–conclusion echo；motif callback；key phrase return；opening image revisited；central idea recurrence,必須形成有意義的結構回扣，而非機械重複開頭字句。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H4,修辭與風格,Rhetoric & Style,H4-1,WRITE_HSF_CONTRAST,對比與反襯,Contrast & Juxtaposition,contrast；antithesis；juxtaposition；before/after；light/dark contrast,需產生明確修辭效果或概念張力；一般 compare/contrast 組織不一定是本 Feature。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H4,修辭與風格,Rhetoric & Style,H4-2,WRITE_HSF_PATTERNING,排比與節奏,Rhetorical Patterning,rhetorical parallelism；Rule of Three；anaphora 首語重複；repetition；climactic sequence,需有節奏或修辭效果；一般句法平行但無風格功能可只標 H1-1。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H4,修辭與風格,Rhetoric & Style,H4-3,WRITE_HSF_RHET_QUESTION,修辭問句,Rhetorical Questions,question opening；challenge question；reflective question；question-answer pattern,真正目的須是引導、挑戰或反思；純資訊問句不算。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H4,修辭與風格,Rhetoric & Style,H4-4,WRITE_HSF_FIGURATIVE,比喻與類比,Figurative Comparison,simile；metaphor；analogy；extended metaphor；personification,比喻需清楚且恰當；混亂比喻或 clichéd misuse 可標 PARTIALLY_EFFECTIVE / MISUSED。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H4,修辭與風格,Rhetoric & Style,H4-5,WRITE_HSF_IMAGERY,生動描寫與意象,Vivid Description & Imagery,visual / auditory / tactile / olfactory / gustatory imagery；sensory details；concrete imagery,需增加可感知性與具體性；堆疊形容詞但無清晰意象不算。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H4,修辭與風格,Rhetoric & Style,H4-6,WRITE_HSF_POWERFUL_CLOSE,有力收束,Powerful Closing,punch line；aphoristic ending；callback ending；contrast ending；rhetorical question ending；memorable final sentence,聚焦結尾的表達力度；與 H5-6 Meaningful Closure（內容收束）及 H3-6 Callback（結構呼應）可並存。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H5,內容發展與思維技巧,Content & Idea Craft,H5-1,WRITE_HSF_CLEAR_FOCUS,清楚核心焦點,Clear Focus,central idea；controlling idea；thesis（論說文）；paragraph focus；purpose awareness,不限定論說文；任何文類都可依其核心目的與焦點判斷。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H5,內容發展與思維技巧,Content & Idea Craft,H5-2,WRITE_HSF_ELABORATION,具體而充分的發展,Specific & Elaborated Development,specificity；concretization；effective examples；illustration；explanation；detail；Idea → Explain → Extend,需實質推進內容；單純拉長句子或重述同一點不算。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H5,內容發展與思維技巧,Content & Idea Craft,H5-3,WRITE_HSF_LOGIC,邏輯發展,Logical Development,cause-effect；causal chain；problem-solution；condition-result；reason-result；process development,重點是思路關係清楚且合理；形式上有 because/therefore 但推理跳躍不算。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H5,內容發展與思維技巧,Content & Idea Craft,H5-4,WRITE_HSF_MULTIANGLE,比較、分類與多角度分析,Comparative & Multi-angle Thinking,compare & contrast；categorization；grouping；multiple perspectives；stakeholder analysis；different dimensions,不要求每篇都多角度；只有 task/內容真的適用時才產生 positive evidence。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H5,內容發展與思維技巧,Content & Idea Craft,H5-5,WRITE_HSF_INSIGHT,反思與洞察,Reflection & Insight,lesson learned；meaning；implication；perspective shift；deeper interpretation；「so what?」,需超越表面重述並提出意義、洞見或視角變化；空泛人生大道理不算。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
H5,內容發展與思維技巧,Content & Idea Craft,H5-6,WRITE_HSF_MEANINGFUL_CLOSE,有意義的收束,Meaningful Closure,synthesis；resolution；implication；return to central idea；answering the task；future implication,聚焦內容／思想是否真正收束；與 H4-6 的修辭力度、H3-6 的前後呼應可同時成立。,EFFECTIVE / PARTIALLY_EFFECTIVE / MISUSED,DECIDED v1
