Micro Code,Domain,Category Code,Category 中文,Skill Code,Skill 中文,Skill English,Micro-skill 中文,國中來源,高中來源,建議年段,備註
GRAM_G1_AGREEMENT_05,Grammar,G1,句子與結構一致,GRAM_G1_AGREEMENT,主動詞一致,Subject–Verb Agreement,視意義而定,,✓,高中,
GRAM_G1_AGREEMENT_06,Grammar,G1,句子與結構一致,GRAM_G1_AGREEMENT,主動詞一致,Subject–Verb Agreement,特殊一致規則,,✓,高中,
GRAM_G1_VERB_COMP_01,Grammar,G1,句子與結構一致,GRAM_G1_VERB_COMP,動詞配價與補語,Verb Complementation,及物與不及物,✓,✓,國中＋高中,
GRAM_G1_VERB_COMP_02,Grammar,G1,句子與結構一致,GRAM_G1_VERB_COMP,動詞配價與補語,Verb Complementation,連綴動詞,✓,✓,國中＋高中,
GRAM_G1_VERB_COMP_03,Grammar,G1,句子與結構一致,GRAM_G1_VERB_COMP,動詞配價與補語,Verb Complementation,授與動詞,✓,✓,國中＋高中,
GRAM_G1_VERB_COMP_04,Grammar,G1,句子與結構一致,GRAM_G1_VERB_COMP,動詞配價與補語,Verb Complementation,使役動詞,✓,✓,國中＋高中,
GRAM_G1_VERB_COMP_05,Grammar,G1,句子與結構一致,GRAM_G1_VERB_COMP,動詞配價與補語,Verb Complementation,感官動詞,✓,✓,國中＋高中,
GRAM_G1_VERB_COMP_06,Grammar,G1,句子與結構一致,GRAM_G1_VERB_COMP,動詞配價與補語,Verb Complementation,動詞後接補語結構,✓,✓,國中＋高中,
GRAM_G1_NOUN_CLAUSE_01,Grammar,G1,句子與結構一致,GRAM_G1_NOUN_CLAUSE,名詞子句,Noun Clauses,that 名詞子句,✓,✓,國中＋高中,
GRAM_G1_NOUN_CLAUSE_02,Grammar,G1,句子與結構一致,GRAM_G1_NOUN_CLAUSE,名詞子句,Noun Clauses,whether / if 名詞子句,✓,✓,國中＋高中,
GRAM_G1_NOUN_CLAUSE_03,Grammar,G1,句子與結構一致,GRAM_G1_NOUN_CLAUSE,名詞子句,Noun Clauses,疑問詞名詞子句,✓,✓,國中＋高中,
GRAM_G1_NOUN_CLAUSE_04,Grammar,G1,句子與結構一致,GRAM_G1_NOUN_CLAUSE,名詞子句,Noun Clauses,名詞子句在句中的功能,✓,✓,國中＋高中,
GRAM_G1_ADJ_CLAUSE_01,Grammar,G1,句子與結構一致,GRAM_G1_ADJ_CLAUSE,形容詞子句,Adjective Clauses,形容詞子句的功能,,,待補來源,與 G7 Relative Clauses 概念可重疊；此處強調 Clause 類型與句中功能
GRAM_G1_ADJ_CLAUSE_02,Grammar,G1,句子與結構一致,GRAM_G1_ADJ_CLAUSE,形容詞子句,Adjective Clauses,形容詞子句修飾名詞,,,待補來源,與 G7 Relative Clauses 概念可重疊；此處強調 Clause 類型與句中功能
GRAM_G1_ADJ_CLAUSE_03,Grammar,G1,句子與結構一致,GRAM_G1_ADJ_CLAUSE,形容詞子句,Adjective Clauses,形容詞子句辨識,,,待補來源,與 G7 Relative Clauses 概念可重疊；此處強調 Clause 類型與句中功能
GRAM_G1_ADV_CLAUSE_01,Grammar,G1,句子與結構一致,GRAM_G1_ADV_CLAUSE,副詞子句,Adverb Clauses,時間副詞子句,,✓,高中,
GRAM_G1_ADV_CLAUSE_02,Grammar,G1,句子與結構一致,GRAM_G1_ADV_CLAUSE,副詞子句,Adverb Clauses,原因副詞子句,,✓,高中,
GRAM_G1_ADV_CLAUSE_03,Grammar,G1,句子與結構一致,GRAM_G1_ADV_CLAUSE,副詞子句,Adverb Clauses,讓步副詞子句,,✓,高中,
GRAM_G1_ADV_CLAUSE_04,Grammar,G1,句子與結構一致,GRAM_G1_ADV_CLAUSE,副詞子句,Adverb Clauses,條件副詞子句,,✓,高中,
GRAM_G1_ADV_CLAUSE_05,Grammar,G1,句子與結構一致,GRAM_G1_ADV_CLAUSE,副詞子句,Adverb Clauses,副詞子句在句中的功能,,✓,高中,
GRAM_G2_NOUN_01,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_NOUN,名詞,Nouns,可數與不可數,✓,✓,國中＋高中,
GRAM_G2_NOUN_02,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_NOUN,名詞,Nouns,集合名詞,✓,✓,國中＋高中,
GRAM_G2_NOUN_03,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_NOUN,名詞,Nouns,單位詞,✓,✓,國中＋高中,
GRAM_G2_NOUN_04,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_NOUN,名詞,Nouns,複數不規則變化,✓,✓,國中＋高中,
GRAM_G2_NOUN_05,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_NOUN,名詞,Nouns,名詞相關用法,✓,✓,國中＋高中,
GRAM_G2_POSSESS_01,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_POSSESS,所有格,Possession,名詞所有格,,✓,高中,
GRAM_G2_POSSESS_02,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_POSSESS,所有格,Possession,雙重所有格,,✓,高中,
GRAM_G2_POSSESS_03,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_POSSESS,所有格,Possession,所有代名詞,,✓,高中,
GRAM_G2_PRON_01,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_PRON,代名詞,Pronouns,人稱代名詞,✓,✓,國中＋高中,
GRAM_G2_PRON_02,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_PRON,代名詞,Pronouns,主格 vs 受格,✓,✓,國中＋高中,
GRAM_G2_PRON_03,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_PRON,代名詞,Pronouns,反身代名詞,✓,✓,國中＋高中,
GRAM_G2_PRON_04,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_PRON,代名詞,Pronouns,指示代名詞,✓,✓,國中＋高中,
GRAM_G2_PRON_05,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_PRON,代名詞,Pronouns,不定代名詞,✓,✓,國中＋高中,
GRAM_G2_PRON_06,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_PRON,代名詞,Pronouns,疑問代名詞,✓,✓,國中＋高中,
GRAM_G2_ARTICLE_01,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_ARTICLE,冠詞與限定詞,Articles & Determiners,a / an / the,,✓,高中,
GRAM_G2_ARTICLE_02,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_ARTICLE,冠詞與限定詞,Articles & Determiners,this / that / these / those,,✓,高中,
GRAM_G2_ARTICLE_03,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_ARTICLE,冠詞與限定詞,Articles & Determiners,限定詞基本用法,,✓,高中,
GRAM_G2_QUANT_01,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_QUANT,數量詞與數字,Quantifiers & Numerals,基數與序數,✓,✓,國中＋高中,
GRAM_G2_QUANT_02,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_QUANT,數量詞與數字,Quantifiers & Numerals,數量形容詞,✓,✓,國中＋高中,
GRAM_G2_QUANT_03,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_QUANT,數量詞與數字,Quantifiers & Numerals,much / many,✓,✓,國中＋高中,
GRAM_G2_QUANT_04,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_QUANT,數量詞與數字,Quantifiers & Numerals,few / a few / little / a little,✓,✓,國中＋高中,
GRAM_G2_QUANT_05,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_QUANT,數量詞與數字,Quantifiers & Numerals,each / every / both / either / neither,✓,✓,國中＋高中,
GRAM_G2_QUANT_06,Grammar,G2,名詞、代名詞與限定詞,GRAM_G2_QUANT,數量詞與數字,Quantifiers & Numerals,everyone / anyone / no one,✓,✓,國中＋高中,
GRAM_G3_PRESENT_01,Grammar,G3,動詞、時態與語態,GRAM_G3_PRESENT,現在時態,Present Tenses,現在簡單式,✓,✓,國中＋高中,
GRAM_G3_PRESENT_02,Grammar,G3,動詞、時態與語態,GRAM_G3_PRESENT,現在時態,Present Tenses,現在進行式,✓,✓,國中＋高中,
GRAM_G3_PRESENT_03,Grammar,G3,動詞、時態與語態,GRAM_G3_PRESENT,現在時態,Present Tenses,現在完成式,✓,✓,國中＋高中,
GRAM_G3_PRESENT_04,Grammar,G3,動詞、時態與語態,GRAM_G3_PRESENT,現在時態,Present Tenses,現在完成進行式,✓,✓,國中＋高中,
GRAM_G3_PAST_01,Grammar,G3,動詞、時態與語態,GRAM_G3_PAST,過去時態,Past Tenses,過去簡單式,✓,✓,國中＋高中,
GRAM_G3_PAST_02,Grammar,G3,動詞、時態與語態,GRAM_G3_PAST,過去時態,Past Tenses,過去進行式,✓,✓,國中＋高中,
GRAM_G3_PAST_03,Grammar,G3,動詞、時態與語態,GRAM_G3_PAST,過去時態,Past Tenses,過去完成式,✓,✓,國中＋高中,
GRAM_G3_PAST_04,Grammar,G3,動詞、時態與語態,GRAM_G3_PAST,過去時態,Past Tenses,過去完成進行式,✓,✓,國中＋高中,
GRAM_G3_FUTURE_01,Grammar,G3,動詞、時態與語態,GRAM_G3_FUTURE,未來時態,Future Tenses,未來簡單式,✓,✓,國中＋高中,
GRAM_G3_FUTURE_02,Grammar,G3,動詞、時態與語態,GRAM_G3_FUTURE,未來時態,Future Tenses,未來進行式,✓,✓,國中＋高中,
GRAM_G3_FUTURE_03,Grammar,G3,動詞、時態與語態,GRAM_G3_FUTURE,未來時態,Future Tenses,未來完成式,✓,✓,國中＋高中,
GRAM_G3_FUTURE_04,Grammar,G3,動詞、時態與語態,GRAM_G3_FUTURE,未來時態,Future Tenses,未來完成進行式,✓,✓,國中＋高中,
GRAM_G3_TENSE_INT_01,Grammar,G3,動詞、時態與語態,GRAM_G3_TENSE_INT,時態整合,Tense Integration,現在／過去／未來辨識,,✓,高中,
GRAM_G3_TENSE_INT_02,Grammar,G3,動詞、時態與語態,GRAM_G3_TENSE_INT,時態整合,Tense Integration,完成式整合,,✓,高中,
GRAM_G3_TENSE_INT_03,Grammar,G3,動詞、時態與語態,GRAM_G3_TENSE_INT,時態整合,Tense Integration,混合時態考題,,✓,高中,
GRAM_G3_TENSE_INT_04,Grammar,G3,動詞、時態與語態,GRAM_G3_TENSE_INT,時態整合,Tense Integration,時態錯誤辨識,,✓,高中,
GRAM_G3_VERB_USAGE_01,Grammar,G3,動詞、時態與語態,GRAM_G3_VERB_USAGE,動詞用法,Verb Usage,易混動詞,✓,✓,國中＋高中,Primary：G3 Verb Usage；只有題目實際測 lexical usage / collocation 時才加 Vocabulary secondary
GRAM_G3_VERB_USAGE_02,Grammar,G3,動詞、時態與語態,GRAM_G3_VERB_USAGE,動詞用法,Verb Usage,特殊動詞用法,✓,✓,國中＋高中,Primary：G3 Verb Usage；只有題目實際測 lexical usage / collocation 時才加 Vocabulary secondary
GRAM_G3_VERB_USAGE_03,Grammar,G3,動詞、時態與語態,GRAM_G3_VERB_USAGE,動詞用法,Verb Usage,動詞片語可拆／不可拆,✓,✓,國中＋高中,Primary：G3 Verb Usage；只有題目實際測 lexical usage / collocation 時才加 Vocabulary secondary
GRAM_G3_VOICE_01,Grammar,G3,動詞、時態與語態,GRAM_G3_VOICE,主動與被動語態,Active & Passive Voice,主動語態,✓,✓,國中＋高中,
GRAM_G3_VOICE_02,Grammar,G3,動詞、時態與語態,GRAM_G3_VOICE,主動與被動語態,Active & Passive Voice,被動語態基本結構,✓,✓,國中＋高中,
GRAM_G3_VOICE_03,Grammar,G3,動詞、時態與語態,GRAM_G3_VOICE,主動與被動語態,Active & Passive Voice,主動轉被動,✓,✓,國中＋高中,
GRAM_G3_VOICE_04,Grammar,G3,動詞、時態與語態,GRAM_G3_VOICE,主動與被動語態,Active & Passive Voice,被動轉主動,✓,✓,國中＋高中,
GRAM_G3_PASSIVE_TENSE_01,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_TENSE,各時態的被動語態,Passive Voice across Tenses,現在時態被動,✓,✓,國中＋高中,
GRAM_G3_PASSIVE_TENSE_02,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_TENSE,各時態的被動語態,Passive Voice across Tenses,過去時態被動,✓,✓,國中＋高中,
GRAM_G3_PASSIVE_TENSE_03,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_TENSE,各時態的被動語態,Passive Voice across Tenses,未來時態被動,✓,✓,國中＋高中,
GRAM_G3_PASSIVE_TENSE_04,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_TENSE,各時態的被動語態,Passive Voice across Tenses,完成式被動,✓,✓,國中＋高中,
GRAM_G3_PASSIVE_TENSE_05,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_TENSE,各時態的被動語態,Passive Voice across Tenses,進行式被動,✓,✓,國中＋高中,
GRAM_G3_PASSIVE_TENSE_06,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_TENSE,各時態的被動語態,Passive Voice across Tenses,助動詞被動,✓,✓,國中＋高中,
GRAM_G3_PASSIVE_PAT_01,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_PAT,特殊被動句型,Special Passive Patterns,感官動詞被動,✓,,國中,
GRAM_G3_PASSIVE_PAT_02,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_PAT,特殊被動句型,Special Passive Patterns,使役動詞被動,✓,,國中,
GRAM_G3_PASSIVE_PAT_03,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_PAT,特殊被動句型,Special Passive Patterns,授與動詞被動,✓,,國中,
GRAM_G3_PASSIVE_PAT_04,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_PAT,特殊被動句型,Special Passive Patterns,介係詞相關被動,✓,,國中,
GRAM_G3_PASSIVE_PAT_05,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_PAT,特殊被動句型,Special Passive Patterns,受詞補語改被動,✓,,國中,
GRAM_G3_PASSIVE_PAT_06,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_PAT,特殊被動句型,Special Passive Patterns,主詞非特定的被動,✓,,國中,
GRAM_G3_PASSIVE_PAT_07,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_PAT,特殊被動句型,Special Passive Patterns,get + p.p.,✓,,國中,
GRAM_G3_PASSIVE_PAT_08,Grammar,G3,動詞、時態與語態,GRAM_G3_PASSIVE_PAT,特殊被動句型,Special Passive Patterns,否定／疑問／祈使被動,✓,,國中,
GRAM_G4_AUX_01,Grammar,G4,助動詞,GRAM_G4_AUX,助動詞,Auxiliary Verbs,can / could,✓,✓,國中＋高中,
GRAM_G4_AUX_02,Grammar,G4,助動詞,GRAM_G4_AUX,助動詞,Auxiliary Verbs,may / might,✓,✓,國中＋高中,
GRAM_G4_AUX_03,Grammar,G4,助動詞,GRAM_G4_AUX,助動詞,Auxiliary Verbs,will / would,✓,✓,國中＋高中,
GRAM_G4_AUX_04,Grammar,G4,助動詞,GRAM_G4_AUX,助動詞,Auxiliary Verbs,shall / should,✓,✓,國中＋高中,
GRAM_G4_AUX_05,Grammar,G4,助動詞,GRAM_G4_AUX,助動詞,Auxiliary Verbs,must / have to,✓,✓,國中＋高中,
GRAM_G4_AUX_06,Grammar,G4,助動詞,GRAM_G4_AUX,助動詞,Auxiliary Verbs,ought to,✓,✓,國中＋高中,
GRAM_G4_AUX_07,Grammar,G4,助動詞,GRAM_G4_AUX,助動詞,Auxiliary Verbs,need,✓,✓,國中＋高中,
GRAM_G4_AUX_08,Grammar,G4,助動詞,GRAM_G4_AUX,助動詞,Auxiliary Verbs,had better,✓,✓,國中＋高中,
GRAM_G4_AUX_09,Grammar,G4,助動詞,GRAM_G4_AUX,助動詞,Auxiliary Verbs,used to,✓,✓,國中＋高中,
GRAM_G4_AUX_PERF_01,Grammar,G4,助動詞,GRAM_G4_AUX_PERF,助動詞完成式,Modal Perfect,should have p.p.,,✓,高中,
GRAM_G4_AUX_PERF_02,Grammar,G4,助動詞,GRAM_G4_AUX_PERF,助動詞完成式,Modal Perfect,must have p.p.,,✓,高中,
GRAM_G4_AUX_PERF_03,Grammar,G4,助動詞,GRAM_G4_AUX_PERF,助動詞完成式,Modal Perfect,could have p.p.,,✓,高中,
GRAM_G4_AUX_PERF_04,Grammar,G4,助動詞,GRAM_G4_AUX_PERF,助動詞完成式,Modal Perfect,might have p.p.,,✓,高中,
GRAM_G4_AUX_PERF_05,Grammar,G4,助動詞,GRAM_G4_AUX_PERF,助動詞完成式,Modal Perfect,其他 modal + have p.p.,,✓,高中,
GRAM_G5_ADJ_01,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADJ,形容詞,Adjectives,形容詞基本用法,✓,✓,國中＋高中,
GRAM_G5_ADJ_02,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADJ,形容詞,Adjectives,指示形容詞,✓,✓,國中＋高中,
GRAM_G5_ADJ_03,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADJ,形容詞,Adjectives,名詞變成的形容詞,✓,✓,國中＋高中,
GRAM_G5_ADJ_04,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADJ,形容詞,Adjectives,後位修飾,✓,✓,國中＋高中,
GRAM_G5_ADJ_05,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADJ,形容詞,Adjectives,多個形容詞共同修飾,✓,✓,國中＋高中,
GRAM_G5_ADJ_06,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADJ,形容詞,Adjectives,形容詞＋介係詞,✓,✓,國中＋高中,
GRAM_G5_ADV_01,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADV,副詞,Adverbs,頻率副詞,✓,✓,國中＋高中,
GRAM_G5_ADV_02,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADV,副詞,Adverbs,情狀副詞,✓,✓,國中＋高中,
GRAM_G5_ADV_03,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADV,副詞,Adverbs,程度副詞,✓,✓,國中＋高中,
GRAM_G5_ADV_04,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADV,副詞,Adverbs,地方副詞,✓,✓,國中＋高中,
GRAM_G5_ADV_05,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADV,副詞,Adverbs,介副詞,✓,✓,國中＋高中,
GRAM_G5_ADV_06,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADV,副詞,Adverbs,疑問副詞,✓,✓,國中＋高中,
GRAM_G5_ADV_07,Grammar,G5,形容詞、副詞與比較,GRAM_G5_ADV,副詞,Adverbs,修飾句子的副詞,✓,✓,國中＋高中,
GRAM_G5_PART_ADJ_01,Grammar,G5,形容詞、副詞與比較,GRAM_G5_PART_ADJ,分詞形容詞,Participial Adjectives,現在分詞 vs 過去分詞,✓,✓,國中＋高中,
GRAM_G5_PART_ADJ_02,Grammar,G5,形容詞、副詞與比較,GRAM_G5_PART_ADJ,分詞形容詞,Participial Adjectives,情緒動詞與情緒形容詞,✓,✓,國中＋高中,Owner Decision：Primary 固定放 G5；不固定加 G8 secondary
GRAM_G5_PART_ADJ_03,Grammar,G5,形容詞、副詞與比較,GRAM_G5_PART_ADJ,分詞形容詞,Participial Adjectives,分詞作其他形容詞,✓,✓,國中＋高中,
GRAM_G5_COMP_01,Grammar,G5,形容詞、副詞與比較,GRAM_G5_COMP,比較與最高級,Comparison,形容詞比較級,✓,✓,國中＋高中,
GRAM_G5_COMP_02,Grammar,G5,形容詞、副詞與比較,GRAM_G5_COMP,比較與最高級,Comparison,形容詞最高級,✓,✓,國中＋高中,
GRAM_G5_COMP_03,Grammar,G5,形容詞、副詞與比較,GRAM_G5_COMP,比較與最高級,Comparison,副詞比較級／最高級,✓,✓,國中＋高中,
GRAM_G5_COMP_04,Grammar,G5,形容詞、副詞與比較,GRAM_G5_COMP,比較與最高級,Comparison,倍數句型,✓,✓,國中＋高中,
GRAM_G5_MODIFIER_01,Grammar,G5,形容詞、副詞與比較,GRAM_G5_MODIFIER,修飾語與位置,Modifiers & Position,good vs well,,✓,高中,
GRAM_G5_MODIFIER_02,Grammar,G5,形容詞、副詞與比較,GRAM_G5_MODIFIER,修飾語與位置,Modifiers & Position,hard vs hardly,,✓,高中,
GRAM_G5_MODIFIER_03,Grammar,G5,形容詞、副詞與比較,GRAM_G5_MODIFIER,修飾語與位置,Modifiers & Position,only 的位置,,✓,高中,
GRAM_G5_MODIFIER_04,Grammar,G5,形容詞、副詞與比較,GRAM_G5_MODIFIER,修飾語與位置,Modifiers & Position,特殊副詞用法,,✓,高中,
GRAM_G6_PREP_01,Grammar,G6,介係詞與連接詞,GRAM_G6_PREP,介係詞,Prepositions,時間介係詞,✓,✓,國中＋高中,
GRAM_G6_PREP_02,Grammar,G6,介係詞與連接詞,GRAM_G6_PREP,介係詞,Prepositions,地方介係詞,✓,✓,國中＋高中,
GRAM_G6_PREP_03,Grammar,G6,介係詞與連接詞,GRAM_G6_PREP,介係詞,Prepositions,其他介係詞,✓,✓,國中＋高中,
GRAM_G6_PREP_04,Grammar,G6,介係詞與連接詞,GRAM_G6_PREP,介係詞,Prepositions,in / on / at（時間）,✓,✓,國中＋高中,
GRAM_G6_PREP_05,Grammar,G6,介係詞與連接詞,GRAM_G6_PREP,介係詞,Prepositions,in / on / at（地點）,✓,✓,國中＋高中,
GRAM_G6_PREP_PHRASE_01,Grammar,G6,介係詞與連接詞,GRAM_G6_PREP_PHRASE,介係詞與動詞片語,Prepositional & Phrasal Verb Patterns,介係詞片語,✓,✓,國中＋高中,
GRAM_G6_PREP_PHRASE_02,Grammar,G6,介係詞與連接詞,GRAM_G6_PREP_PHRASE,介係詞與動詞片語,Prepositional & Phrasal Verb Patterns,含介係詞的動詞片語,✓,✓,國中＋高中,
GRAM_G6_PREP_PHRASE_03,Grammar,G6,介係詞與連接詞,GRAM_G6_PREP_PHRASE,介係詞與動詞片語,Prepositional & Phrasal Verb Patterns,不及物動詞＋介係詞＋受詞,✓,✓,國中＋高中,
GRAM_G6_PREP_PHRASE_04,Grammar,G6,介係詞與連接詞,GRAM_G6_PREP_PHRASE,介係詞與動詞片語,Prepositional & Phrasal Verb Patterns,片語動詞中的介係詞,✓,✓,國中＋高中,
GRAM_G6_COORD_01,Grammar,G6,介係詞與連接詞,GRAM_G6_COORD,對等與相關連接詞,Coordinating & Correlative Conjunctions,FANBOYS,✓,✓,國中＋高中,
GRAM_G6_COORD_02,Grammar,G6,介係詞與連接詞,GRAM_G6_COORD,對等與相關連接詞,Coordinating & Correlative Conjunctions,相關連接詞,✓,✓,國中＋高中,
GRAM_G6_SUBORD_01,Grammar,G6,介係詞與連接詞,GRAM_G6_SUBORD,從屬連接詞,Subordinating Conjunctions,時間,✓,✓,國中＋高中,
GRAM_G6_SUBORD_02,Grammar,G6,介係詞與連接詞,GRAM_G6_SUBORD,從屬連接詞,Subordinating Conjunctions,原因,✓,✓,國中＋高中,
GRAM_G6_SUBORD_03,Grammar,G6,介係詞與連接詞,GRAM_G6_SUBORD,從屬連接詞,Subordinating Conjunctions,讓步,✓,✓,國中＋高中,
GRAM_G6_SUBORD_04,Grammar,G6,介係詞與連接詞,GRAM_G6_SUBORD,從屬連接詞,Subordinating Conjunctions,條件,✓,✓,國中＋高中,
GRAM_G6_SUBORD_05,Grammar,G6,介係詞與連接詞,GRAM_G6_SUBORD,從屬連接詞,Subordinating Conjunctions,其他附屬連接詞,✓,✓,國中＋高中,
GRAM_G6_SUBORD_06,Grammar,G6,介係詞與連接詞,GRAM_G6_SUBORD,從屬連接詞,Subordinating Conjunctions,in order to 等目的連接,✓,✓,國中＋高中,
GRAM_G7_REL_CLAUSE_01,Grammar,G7,關係子句與關係詞,GRAM_G7_REL_CLAUSE,關係子句,Relative Clauses,關係子句基本結構,,✓,高中,與 G1 Adjective Clauses 概念可重疊；此處強調關係子句完整教學系統
GRAM_G7_REL_CLAUSE_02,Grammar,G7,關係子句與關係詞,GRAM_G7_REL_CLAUSE,關係子句,Relative Clauses,限定關係子句,,✓,高中,與 G1 Adjective Clauses 概念可重疊；此處強調關係子句完整教學系統
GRAM_G7_REL_CLAUSE_03,Grammar,G7,關係子句與關係詞,GRAM_G7_REL_CLAUSE,關係子句,Relative Clauses,非限定關係子句,,✓,高中,與 G1 Adjective Clauses 概念可重疊；此處強調關係子句完整教學系統
GRAM_G7_REL_CLAUSE_04,Grammar,G7,關係子句與關係詞,GRAM_G7_REL_CLAUSE,關係子句,Relative Clauses,關係子句形成,,✓,高中,與 G1 Adjective Clauses 概念可重疊；此處強調關係子句完整教學系統
